baseline_method,baseline_type,count,percentage,cumulative_percentage
ML (Other),TS,50,25.13,25.13
Random Forest,TS,20,10.05,35.18
k-NN Regressor,TS,18,9.05,44.23
Random Forest Regressor (RFR),TS,18,9.05,53.28
AdaBoost Regressor,TS,16,8.04,61.32
SVR,TS,14,7.04,68.36
Gaussian Processes,TS,10,5.03,73.39
Bi-fidelity (BF),TS,9,4.52,77.91
GDML,TS,8,4.02,81.93
PCE,TS,8,4.02,85.95
SVM,TS,6,3.02,88.97
ARIMA,TS,4,2.01,90.98
k-NN,TS,4,2.01,92.99
GPR-MSM,TS,3,1.51,94.5
XGBoost,TS,3,1.51,96.01
Linear Regression,TS,3,1.51,97.52
GBDT,TS,2,1.01,98.53
QRS,TS,2,1.01,99.54
Lasso Regression,TS,1,0.5,100.04
